,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
146,11 nov 2024,"32,19","32,38","32,06","32,32","28,38",108.900
147,8 nov 2024,"32,60","32,83","32,04","32,22","28,29",275.300
148,7 nov 2024,"32,65","33,09","32,30","32,79","28,79",196.700
149,6 nov 2024,"32,25","32,41","31,64","32,26","28,33",133.000
150,5 nov 2024,"31,87","32,37","31,87","32,22","28,29",142.500
151,4 nov 2024,"31,70","32,00","31,61","31,76","27,89",100.800
152,1 nov 2024,"32,14","32,45","31,66","31,66","27,80",99.300
153,31 oct 2024,"32,30","32,45","31,91","31,91","28,02",235.400
154,30 oct 2024,"31,49","32,82","31,05","32,38","28,43",454.600
155,29 oct 2024,"31,46","31,66","31,02","31,17","27,37",204.100
156,28 oct 2024,"31,38","31,87","31,32","31,60","27,75",147.500
157,25 oct 2024,"31,94","32,10","31,31","31,31","27,49",250.100
158,24 oct 2024,"31,19","31,95","31,14","31,94","28,05",210.500
159,23 oct 2024,"32,42","32,47","31,05","31,05","27,26",217.800
160,22 oct 2024,"33,27","33,28","32,60","32,63","28,65",136.000
161,21 oct 2024,"33,11","33,40","32,70","33,30","29,24",311.300
162,18 oct 2024,"32,32","33,20","32,16","33,14","29,10",403.200
163,17 oct 2024,"32,28","32,44","32,06","32,11","28,19",138.900
164,16 oct 2024,"32,44","32,45","32,07","32,19","28,26",407.800
165,15 oct 2024,"32,75","32,75","31,95","32,27","28,34",508.300
166,14 oct 2024,"32,32","33,03","32,10","32,64","28,66",209.200
167,11 oct 2024,"31,81","32,36","31,81","32,35","28,41",257.700
168,10 oct 2024,"31,48","31,89","31,32","31,82","27,94",134.800
169,9 oct 2024,"30,98","31,78","30,84","31,57","27,72",324.800
170,8 oct 2024,"30,84","31,27","30,65","31,19","27,39",421.600
171,7 oct 2024,"31,37","31,46","31,00","31,08","27,29",216.200
172,4 oct 2024,"31,13","31,64","30,99","31,37","27,54",399.600
173,3 oct 2024,"31,10","31,37","30,92","30,96","27,18",262.200
174,2 oct 2024,"31,26","31,43","30,95","31,30","27,48",312.300
175,1 oct 2024,"31,28","31,40","30,81","31,21","27,40",307.400
176,30 sept 2024,"31,74","32,03","31,38","31,38","27,55",285.100
177,27 sept 2024,"32,33","32,54","31,96","31,97","28,07",270.900
178,26 sept 2024,"33,13","33,23","32,67","33,02","28,25",267.300
179,25 sept 2024,"33,00","33,00","32,54","32,72","27,99",263.700
180,24 sept 2024,"32,74","32,96","32,56","32,95","28,19",262.000
181,23 sept 2024,"32,26","32,71","32,26","32,48","27,79",223.300
182,20 sept 2024,"32,22","32,41","31,80","32,16","27,51",444.400
183,19 sept 2024,"32,12","32,28","31,80","32,22","27,57",197.000
184,18 sept 2024,"31,65","31,90","31,42","31,73","27,15",325.100
185,17 sept 2024,"31,80","31,80","31,43","31,58","27,02",207.300
186,16 sept 2024,"31,95","32,01","31,70","31,77","27,18",172.500
187,13 sept 2024,"31,84","32,31","31,68","31,81","27,22",360.700
188,12 sept 2024,"31,48","32,11","31,45","31,86","27,26",383.400
189,11 sept 2024,"31,15","31,71","30,91","31,57","27,01",286.000
190,10 sept 2024,"31,38","31,60","30,66","31,16","26,66",384.500
191,9 sept 2024,"32,21","32,37","31,37","31,42","26,88",358.300
192,6 sept 2024,"32,99","33,00","32,14","32,18","27,53",208.400
193,5 sept 2024,"32,90","33,00","32,52","32,88","28,13",284.000
194,4 sept 2024,"32,75","32,84","32,47","32,70","27,98",492.700
195,3 sept 2024,"32,79","33,10","32,34","32,89","28,14",231.300
196,30 ago 2024,"32,48","33,19","32,30","33,09","28,31",333.300
197,29 ago 2024,"32,50","32,72","32,22","32,56","27,86",158.600
198,28 ago 2024,"33,05","33,25","33,01","33,12","28,34",117.600
199,27 ago 2024,"33,40","33,46","32,99","33,21","28,41",87.900
200,26 ago 2024,"33,07","33,42","33,07","33,41","28,58",137.500
201,23 ago 2024,"33,14","33,45","32,87","32,90","28,15",279.400
202,22 ago 2024,"33,32","33,32","32,52","32,71","27,99",277.600
203,21 ago 2024,"33,53","33,76","33,10","33,18","28,39",124.400
204,20 ago 2024,"34,35","34,35","33,12","33,26","28,46",357.600
205,19 ago 2024,"33,82","34,83","33,82","34,79","29,77",153.900
206,16 ago 2024,"34,24","34,65","33,72","33,90","29,00",126.100
207,15 ago 2024,"34,32","34,59","34,10","34,30","29,35",137.200
208,14 ago 2024,"33,76","33,87","33,36","33,86","28,97",147.100
209,13 ago 2024,"32,99","33,75","32,99","33,52","28,68",155.500
210,12 ago 2024,"31,83","33,09","31,83","32,98","28,22",278.600
211,9 ago 2024,"31,41","32,05","31,41","31,57","27,01",379.900
212,8 ago 2024,"31,01","31,70","31,01","31,57","27,01",473.200
213,7 ago 2024,"31,81","31,81","30,57","30,73","26,29",182.900
214,6 ago 2024,"31,01","31,50","30,85","31,21","26,70",226.600
215,5 ago 2024,"30,32","31,24","30,25","31,07","26,58",213.100
216,2 ago 2024,"32,28","32,54","31,68","31,79","27,20",221.300
217,1 ago 2024,"33,12","33,42","32,67","32,82","28,08",183.600
218,31 jul 2024,"32,91","33,58","32,70","33,32","28,51",178.100
219,30 jul 2024,"32,67","32,74","32,35","32,59","27,88",114.100
220,29 jul 2024,"33,06","33,49","32,26","32,45","27,76",231.700
221,26 jul 2024,"32,97","33,01","32,79","32,94","28,18",122.500
222,25 jul 2024,"32,90","33,14","32,70","32,79","28,05",141.300
223,24 jul 2024,"33,38","33,42","32,80","32,83","28,09",140.900
224,23 jul 2024,"33,94","34,00","33,43","33,45","28,62",84.800
225,22 jul 2024,"33,77","34,11","33,62","33,95","29,05",133.100
226,19 jul 2024,"33,11","33,92","33,11","33,64","28,78",142.800
227,18 jul 2024,"33,71","33,77","33,18","33,21","28,41",119.800
228,17 jul 2024,"34,33","34,33","33,62","33,83","28,94",148.300
229,16 jul 2024,"34,17","34,40","34,10","34,33","29,37",191.400
230,15 jul 2024,"34,48","34,52","33,95","33,96","29,05",190.000
231,12 jul 2024,"34,15","34,63","33,97","34,51","29,53",144.700
232,11 jul 2024,"34,35","34,41","33,98","34,17","29,23",159.200
233,10 jul 2024,"33,78","34,62","33,59","34,23","29,29",366.300
234,9 jul 2024,"33,34","33,72","33,34","33,59","28,74",233.600
