,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
157,23 sept 2024,32.26,32.71,32.26,32.48,27.8,223.3,1.8448848202530723
11,24 abr 2025,41.74,42.19,41.55,41.65,41.09,224.6,4.1630493631471746
92,24 dic 2024,32.09,32.35,32.09,32.29,28.35,44.9,4.294580305454786
73,24 ene 2025,34.43,35.71,34.35,35.67,32.12,,4.280084111323061
53,24 feb 2025,42.79,43.33,42.48,43.15,38.86,369.9,5.0945284374512925
199,24 jul 2024,33.38,33.42,32.8,32.83,28.1,140.9,5.017899959146245
220,24 jun 2024,32.92,33.41,32.92,33.15,27.6,554.8,4.513127518694776
33,24 mar 2025,42.69,43.25,42.69,43.23,38.93,385.5,5.214871043467884
239,24 may 2024,36.13,36.13,35.17,35.3,29.39,176.5,5.251706389355733
134,24 oct 2024,31.19,31.95,31.14,31.94,28.05,210.5,4.606989255468266
156,24 sept 2024,32.74,32.96,32.56,32.95,28.2,262.0,4.591255819489918
10,25 abr 2025,41.5,42.33,41.41,42.33,41.76,311.3,5.2916301836012565
52,25 feb 2025,43.44,43.55,42.98,43.4,39.08,307.1,5.340779905594301
198,25 jul 2024,32.9,33.14,32.7,32.79,28.07,141.3,5.669953262593963
219,25 jun 2024,33.3,33.66,32.7,32.75,27.27,611.3,5.509907440238893
32,25 mar 2025,43.49,44.16,43.4,43.88,39.52,421.2,5.742068442643271
112,25 nov 2024,33.01,33.63,32.84,33.33,29.27,507.8,5.85844262581788
133,25 oct 2024,31.94,32.1,31.31,31.31,27.49,250.1,5.1241896920391365
155,25 sept 2024,33.0,33.0,32.54,32.72,28.01,263.7,5.131186022743684
176,26 ago 2024,33.07,33.42,33.07,33.41,28.6,137.5,5.073494850692187
91,26 dic 2024,32.35,32.77,32.32,32.48,28.52,106.3,0.8469651704765668
51,26 feb 2025,43.4,43.98,43.07,43.25,38.95,432.8,4.8755953482626255
197,26 jul 2024,32.97,33.01,32.79,32.94,28.2,122.5,4.646907573860289
218,26 jun 2024,32.84,33.04,32.56,32.87,27.37,328.8,4.6292818017485295
31,26 mar 2025,43.82,44.93,43.77,44.29,39.89,442.9,6.042344743557739
111,26 nov 2024,33.11,33.12,32.53,32.58,28.61,178.5,6.023091398941231
154,26 sept 2024,33.13,33.23,32.67,33.02,28.26,267.3,5.117699678566542
175,27 ago 2024,33.4,33.46,32.99,33.21,28.43,87.9,5.09003241639973
90,27 dic 2024,32.27,32.41,31.94,32.05,28.14,170.5,5.195743450171505
72,27 ene 2025,35.5,37.17,34.92,36.88,33.21,,1.9154816626635407
50,27 feb 2025,43.19,43.3,41.4,41.74,37.59,550.1,4.0020932023130165
217,27 jun 2024,32.05,32.39,31.72,32.18,27.55,293.7,4.141143561867914
30,27 mar 2025,44.02,44.66,43.62,43.76,39.41,443.6,5.371128373070206
110,27 nov 2024,32.55,33.09,32.42,32.91,28.9,166.0,5.170104447687666
153,27 sept 2024,32.33,32.54,31.96,31.97,28.07,270.9,5.749693035284571
9,28 abr 2025,41.78,41.95,40.0,40.67,40.67,719.8,5.5218629102867025
174,28 ago 2024,33.05,33.25,33.01,33.12,28.35,117.6,5.360245330206437
71,28 ene 2025,37.77,39.73,37.5,38.67,34.82,,3.9244770352239375
49,28 feb 2025,41.76,42.25,41.22,41.72,37.57,451.9,4.433593350770887
216,28 jun 2024,32.35,32.69,32.16,32.65,27.95,348.9,4.238021944256519
29,28 mar 2025,43.7,44.11,43.25,43.79,39.44,562.2,5.0061911669451575
238,28 may 2024,35.64,36.21,35.59,35.86,29.86,186.9,4.459996636769992
132,28 oct 2024,31.38,31.87,31.32,31.6,27.75,147.5,5.424198558312539
8,29 abr 2025,40.61,40.94,40.3,40.83,40.83,357.1,5.247392685896477
173,29 ago 2024,32.5,32.72,32.22,32.56,27.87,158.6,5.265934864769961
70,29 ene 2025,38.78,40.43,38.63,40.3,36.29,630.4,4.265196361247619
196,29 jul 2024,33.06,33.49,32.26,32.45,27.78,231.7,4.598735695819017
237,29 may 2024,35.51,35.51,34.69,35.03,29.17,346.0,4.090297055227153
109,29 nov 2024,32.78,33.03,32.58,32.7,28.71,94.7,3.356660542861038
131,29 oct 2024,31.46,31.66,31.02,31.17,27.37,204.1,3.6162065759577677
