fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,prediccion
16 abr 2025,39.0,39.87,39.0,39.65,39.11,358.8,3.1779128370677534,34.60078292293015
16 ago 2024,34.24,34.65,33.72,33.9,29.02,126.1,3.1813471989080377,34.603154365946786
16 dic 2024,33.19,33.35,32.77,32.86,28.85,159.8,3.205896130569431,34.62010551881347
16 ene 2025,32.47,32.47,31.78,32.05,28.86,222.9,3.159150202190464,34.587827235229625
16 jul 2024,34.17,34.4,34.1,34.33,29.39,191.4,2.982728616552307,34.4660072999109
16 may 2024,35.64,35.99,35.48,35.9,29.89,174.0,1.4702618814347554,33.42164189996696
16 oct 2024,32.44,32.45,32.07,32.19,28.26,407.8,1.6333493196496827,33.53425454372466
16 sept 2024,31.95,32.01,31.7,31.77,27.19,172.5,1.7988107182247086,33.64850641828549
17 abr 2025,39.75,40.03,39.45,39.53,38.99,197.0,3.153613800071279,34.58400432350588
17 dic 2024,32.7,32.85,32.22,32.55,28.58,228.8,3.3086885619532147,34.691084176539114
17 ene 2025,32.17,32.37,31.94,32.15,28.95,235.6,3.3052866744051226,34.6887351571741
17 jul 2024,34.33,34.33,33.62,33.83,28.96,148.3,3.2055389562443404,34.61985888826073
17 jun 2024,32.3,32.9,32.3,32.76,27.28,210.6,3.063409864840166,34.521718081629075
17 mar 2025,43.17,43.97,43.17,43.89,39.53,285.2,4.988414577799243,35.850942897133685
17 may 2024,36.01,36.57,35.91,36.33,30.25,298.5,4.800356236780761,35.72108772744937
17 oct 2024,32.28,32.44,32.06,32.11,28.19,138.9,4.807970465799467,35.726345388427795
17 sept 2024,31.8,31.8,31.43,31.58,27.03,207.3,5.131016468498221,35.94941017390393
18 dic 2024,32.53,32.64,31.56,31.56,27.71,270.2,5.3065742244879575,36.07063363078427
18 feb 2025,40.9,41.39,40.77,41.09,37.0,467.6,4.17292822847458,35.28784573434214
18 jul 2024,33.71,33.77,33.18,33.21,28.43,119.8,4.069207539558535,35.21622611042106
18 jun 2024,32.87,33.68,32.86,33.13,27.58,231.4,3.9810212257660744,35.1553330456448
18 mar 2025,44.03,44.03,42.92,43.08,38.8,380.2,5.265741163407097,36.042438209902286
18 nov 2024,31.7,32.92,31.7,32.82,28.82,339.6,4.998752844460298,35.85808151892649
18 oct 2024,32.32,33.2,32.16,33.14,29.1,403.2,4.476899596819208,35.49773939501037
18 sept 2024,31.65,31.9,31.42,31.73,27.16,325.1,4.6756336468974995,35.6349661920522
19 ago 2024,33.82,34.83,33.82,34.79,29.78,153.9,4.58728350987815,35.573960006566644
19 dic 2024,31.7,32.22,31.7,31.89,28.0,334.6,1.2269596570385213,33.253640568771345
19 feb 2025,41.0,41.55,40.36,41.52,37.39,349.5,4.050744376037575,35.20347720910172
19 jul 2024,33.11,33.92,33.11,33.64,28.8,142.8,4.01123796352199,35.17619784529873
19 mar 2025,42.86,43.07,42.42,42.93,38.66,469.7,4.946476523748998,35.82198447340501
19 nov 2024,32.49,33.21,32.38,32.94,28.92,296.4,5.210933697524848,36.004593396725895
19 sept 2024,32.12,32.28,31.8,32.22,27.58,197.0,5.138200073955859,35.95437048728643
2 abr 2025,41.07,42.07,41.04,42.06,41.49,431.6,5.270134723135641,36.04547198357581
2 ago 2024,32.28,32.54,31.68,31.79,27.21,221.3,5.5984792577984965,36.272195430313914
2 dic 2024,32.65,32.83,32.47,32.65,28.67,222.7,4.341977660007032,35.40457516254934
2 ene 2025,31.66,32.37,31.66,32.34,29.12,171.5,4.397996134604957,35.44325618294426
2 jul 2024,32.62,33.37,32.56,33.37,28.56,274.0,4.296681277451253,35.37329779717958
2 may 2025,41.1,41.32,40.92,40.99,40.99,203.6,3.822933428664451,35.04617267760969
2 oct 2024,31.26,31.43,30.95,31.3,27.48,312.3,3.9064241961159487,35.10382344553506
